Welke bewering over machinetaal (machine language) is NIET waar:;In machinetaal kan je programma's schrijven die op iedere willekeurige computer kunnen runnen.;Machinetaal bestaat uit nullen (0) en enen (1).;Machinetaal wordt door een compiler geproduceerd.;In machinetaal kan je algoritmes beschrijven.;Java Basis
Een bit is ...;een binair cijfer (binary digit): 0 of 1.;een alternatieve term voor byte.;een ijzeren mondstuk voor een paard waaraan de teugels bevestigd zijn.;een elektronisch onderdeel (electronic device) van een computer.;Java Basis
Welke bewering is waar?;Java is een hogere-orde taal (high-level language).;Java is een assembly taal (assembly language).;Java is een machinetaal (machine language).;Geen van de beweringen is waar.;Java Basis
Welke bewering is waar?;Java is hoofdlettergevoelig (case sensitive).;De compiler gebruikt commentaar (comments) om sneller te compileren.;"Ieder statement in Java eindigt op een "")"".";Het `System.out.println` statement zorgt dat het programma op de printer wordt afgedrukt.;Java Basis
Een compiler ...;vertaalt broncode (source code) in machine code;vertaalt machine code van de ene computer naar machine code voor de andere computer;test de logica van een programma;houdt een verzameling programma's bij;Java Basis
Tools als IntelliJ IDEA, Netbeans en Eclipse zijn...;Programma's om je te helpen om Java Programma's te schrijven;Uitbreidingen van Java;Programmeertalen;Java dialecten;Java Basis
Voordat een variabele wordt gebruikt moet deze eerst worden ...;gedeclareerd.;geëvalueerd.;geïmporteerd.;geanalyseerd.;Java Basis
Wat is het juiste statement om een integer constante MAX_KLAS_GROOTTE te maken met waarde 35?;"final int MAX_KLAS_GROOTTE = 35;";"const int MAX_KLAS_GROOTTE = 35;";"static int MAX_KLAS_GROOTTE = 35;";"float int MAX_KLAS_GROOTTE = 35;";Java Basis
Welke van de volgende types is geen primitief datatype (primitive data type)?;String;int;float;char;Java Basis
Welk van onderstaand commentaar is het nuttigst?;"int volume; // grootte van de emmer in liters";"int volume; // declareer een int";"int volume; // declareer volume";"int volume; // declareer volume als een int variabele";Java Basis
Welke van de volgende beweringen zijn waar:;Een while-loop en een for-loop zijn pretest loops, terwijl een do-while loop een posttest loop is.;Als je vooraf het aantal herhalingen weet kan je het best een while-loop gebruiken.;Een for-loop kan meer dan een while-loop.;Een do-while-loop is sneller dan een while-loop.;Java Basis
Wat is een methode?;een stukje programma dat een bepaalde taak verricht;het type van een variabele;hetzelfde als een logische expressie;een manier om Java-code te schrijven;Java Basis
Wat is method overloading?;Een methode heeft dezelfde naam als een andere methode, maar een andere signature.;Een methode geeft een waarde terug die te groot is voor het type.;Een methode heeft dezelfde signature als een andere methode.;Een methode heeft een te grote signature.;Java Basis